CustomerID,ProductID,Category,Price,Quantity,TransactionDate,ReviewRating,ReviewText,CustomerAge,CustomerGender,Country,DeviceType,BrowsingDuration,PreviousPurchases
2e1533d2,fa954a98,Sports,6,2,2024-06-01 14:13:22,1,Grow buy east task hot only however.,55,Male,Netherlands Antilles,Tablet,295,1
8d365642,0e4b072d,Fashion,26,2,2024-02-01 20:51:45,1,Few go sing role look song account idea.,65,Female,Jamaica,Mobile,478,2
e80ddea3,9ab9d91a,Beauty,37,3,2024-05-19 11:12:47,4,Medical it conference a down.,47,Male,Samoa,Desktop,49,5
38f6e05a,fa86bd4d,Home & Garden,75,4,2024-07-14 08:05:42,2,Through represent day everyone.,24,Male,Hungary,Desktop,328,3
c3df762c,94868bd8,Beauty,28,1,2024-03-21 16:40:49,5,Information walk above surface discover car cup.,27,Male,Guatemala,Mobile,503,16
2c2b93ba,dfbd0b73,Fashion,94,1,2024-03-22 12:47:52,3,Throw start nothing up try plant spend.,50,Male,Panama,Tablet,148,5
10bf239f,5b72ec4a,Beauty,53,3,2024-03-18 03:40:25,2,Where story group thousand arm black food.,18,Female,Martinique,Mobile,421,15
d06bc238,31ceefd5,Fashion,72,2,2024-01-19 14:16:46,4,Every myself rather million lawyer trade resource environment.,38,Male,Eritrea,Mobile,532,8
da2128bb,c6dc7bf6,Fashion,85,1,2024-07-21 22:25:07,2,Similar court our seat budget may minute.,33,Female,Portugal,Mobile,573,10
c1c4d57c,9e38e94b,Beauty,81,2,2024-07-19 16:29:06,5,Work sing during.,48,Male,Senegal,Tablet,202,8
3d992e8f,b630cb7c,Fashion,40,5,2024-04-16 18:43:30,5,Consider skill would not color act.,41,Male,Niger,Desktop,67,2
f1f38716,3b4a16ce,Electronics,82,2,2024-02-27 09:26:55,2,Late child stock eight enter.,51,Female,Fiji,Tablet,180,13
27756858,af6f0bf0,Sports,41,3,2024-04-23 17:25:56,2,Level drive practice explain animal only.,64,Female,Saudi Arabia,Desktop,461,10
e90699da,11b578d7,Electronics,21,1,2024-03-05 21:44:44,3,Begin everyone state light low every could rate.,37,Female,Switzerland,Tablet,170,16
9a67430b,e9f812d5,Beauty,73,5,2024-07-06 09:55:20,1,Determine song loss event glass budget hope.,47,Male,Guinea,Mobile,572,18
9561710c,c3a22540,Sports,2,4,2024-05-16 07:10:28,3,Response theory former understand reduce none under.,38,Female,Malawi,Mobile,395,7
8bfd9a32,9f092bc2,Fashion,44,2,2024-01-10 17:12:28,4,Nature weight imagine far including think.,23,Male,Turks and Caicos Islands,Desktop,446,10
72bf3c10,66c0c714,Home & Garden,56,3,2024-03-29 10:14:37,3,Arrive maintain lay security.,58,Female,New Zealand,Mobile,363,13
a2865062,c915a9e9,Sports,12,4,2024-05-09 01:49:43,3,Citizen only firm city at.,57,Female,Solomon Islands,Desktop,68,5
36786ce4,ff6cdaa4,Home & Garden,75,5,2024-07-22 22:25:10,5,Program suggest let painting.,57,Female,Christmas Island,Tablet,219,1
7927bb3c,90ddaf0b,Fashion,73,1,2024-02-17 19:10:15,4,Analysis cut ground continue least glass.,34,Male,Malta,Tablet,190,10
f318b93e,3d2259f1,Sports,2,3,2024-03-17 05:14:43,2,Myself fire religious operation.,61,Male,Gibraltar,Desktop,293,15
d11b45a8,448b06ff,Beauty,19,5,2024-02-15 13:07:55,1,Right list fact media same current cost.,32,Male,Guinea,Mobile,107,16
c2a79bcb,c1184aa0,Sports,49,4,2024-03-31 04:25:17,2,Play prepare there and.,20,Male,Greece,Tablet,167,19
7eb345e7,bc2972f8,Home & Garden,0,5,2024-01-10 08:22:06,5,Strategy president might Mr.,65,Female,Indonesia,Tablet,223,18
6af7ce01,9f191d17,Home & Garden,9,1,2024-07-15 13:35:28,2,Religious seem training organization matter significant.,40,Male,Mauritania,Tablet,141,3
c7d1613d,c9673267,Beauty,12,2,2024-06-13 07:24:40,3,Challenge firm along prevent general.,53,Male,Greenland,Tablet,386,20
64df26d2,08fa1503,Home & Garden,39,3,2024-06-17 13:36:29,1,Raise enter picture real.,39,Female,Cayman Islands,Desktop,556,1
54d57815,bf94ee8f,Electronics,20,1,2024-01-06 12:23:47,3,Heavy at then.,31,Female,Rwanda,Desktop,452,1
48d796e2,2c8274f8,Electronics,65,5,2024-05-24 10:20:30,4,Condition hope task between probably actually beat.,67,Male,Wallis and Futuna,Mobile,550,5
71906938,9b3289c3,Sports,31,3,2024-06-21 13:43:25,4,Audience walk remain direction.,55,Female,Belize,Mobile,433,15
c4455aa5,35b6de07,Home & Garden,15,1,2024-02-12 15:05:11,2,Doctor camera board place.,27,Male,Saint Lucia,Desktop,382,6
d93dc5d9,d605b39b,Sports,69,4,2024-03-28 22:41:51,3,Month billion various loss sense assume plan green.,46,Female,Guyana,Mobile,282,9
ea7532a3,5dc3f027,Electronics,71,5,2024-07-21 22:20:44,3,Ball edge store others miss trial.,45,Female,Libyan Arab Jamahiriya,Mobile,182,2
267efbdf,e01a8b75,Sports,78,4,2024-02-12 16:55:01,4,A into full wish.,44,Female,Burundi,Desktop,417,17
95be2d43,e8d379ea,Sports,49,5,2024-05-20 13:46:29,3,Before because risk central someone.,55,Male,Tuvalu,Tablet,109,16
